"順位","プレイヤー名","合計ポイント","参加大会数","順位履歴"
1,"ロッキー",341.0,6,"1, 4, 1, 1, 1, 1"
2,"れんじー",237.0,7,"3, 2, 9, 3, 25, 2, 1"
3,"むきむきがいこつ",235.0,6,"2, 5, 25, 5, 1, 7"
4,"DPS | SHOOさん",176.0,5,"7, 1, 17, 3, 2"
5,"OH",106.0,5,"4, 2, 9, 9, 5"
6,"トム",105.0,2,"1, 1"
7,"DPS コロタヌキ",104.0,4,"13, 25, 7, 3"
8,"けんぴ",98.0,4,"25, 5, 9, 2"
9,"ざわ",93.0,3,"65, 17, 2"
10,"TNK | あすみ",88.0,5,"9, 7, 13, 7, 7"
11,"ハカタコ",87.0,2,"2, 3"
12,"だっきゅうゴリラ",85.0,4,"7, 9, 25, 5"
13,"ゆとり",80.0,4,"9, 7, 5, 13"
14,"李大浩",77.0,1,"2"
15,"Karoegu",74.0,4,"5, 13, 13, 5"
16,"なかぞの",72.0,2,"5, 2"
17,"スラリン",71.0,5,"9, 17, 9, 7, 13"
18,"hara",70.0,5,"13, 25, 9, 17, 7"
19,"ぬこすけ",70.0,4,"9, 13, 9, 5"
20,"たに",64.0,6,"17, 17, 9, 9, 25, 17"
21,"あんちゃん",62.0,8,"25, 25, 33, 65, 25, 25, 65, 25"
22,"ステノン",61.0,5,"17, 5, 49, 17, 17"
23,"SNG | つゆだく",59.0,4,"13, 7, 65, 9"
24,"りっちー",59.0,7,"25, 25, 49, 17, 25, 49, 33"
25,"やぅや",57.0,6,"17, 65, 17, 9, 25, 4"
26,"リュウ",54.0,6,"13, 33, 17, 25, 65, 17"
27,"くしゃ",51.0,4,"4, 9, 4, 3"
28,"まくら",51.0,4,"13, 33, 9, 17"
29,"leiser",50.0,4,"17, 13, 7, 17"
30,"なはたや",48.0,6,"33, 25, 17, 17, 33, 25"
31,"がりがりがいこつ",48.0,4,"9, 33, 9, 9"
32,"おば",47.0,6,"17, 13, 17, 65, 49, 33"
33,"あーるJr.",47.0,6,"25, 13, 65, 25, 65, 33"
34,"ピーマンも食べなさい",46.0,6,"25, 25, 65, 17, 17, 33"
35,"しろんぬ",46.0,2,"5, 3"
36,"りーま",45.0,4,"25, 49, 25, 17"
37,"フラット",44.0,5,"25, 65, 17, 49, 17"
38,"S4",43.0,4,"25, 13, 25, 17"
